GenomicLocus	IndSigSNP	chr	bp	snp	DateAddedToCatalog	PMID	FirstAuth	Date	Journal	Link	Study	Trait	InitialN	ReplicationN	Region	ReportedGene	MappedGene	UpGene	DownGene	SNP_Gene_ID	UpGeneDist	DownGeneDist	Strongest	SNPs	marged	SNP_ID_cur	Context	intergenic	RiskAF	P	Pmlog	Ptext	OrBeta	95CI	Platform	CNV
10	rs2242652	5	1283755	rs72709458	2016-10-10	26424050	Kinnersley B	2015-10-01	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26424050	Genome-wide association study identifies multiple susceptibility loci for glioma.	Glioblastoma	1,783 Northern European ancestry cases, 7,435 Northern European ancestry controls	up to 1,490 European ancestry cases, up to 1,723 European ancestry controls	5p15.33	NR	TERT			ENSG00000164362			rs72709458-T	rs72709458	0	72709458	intron_variant	0	NR	6E-24	23.221848749616356		1.68	[1.52-1.86]	Illumina [at least 8427548] (imputed)	N
10	rs4449583	5	1284135	rs4449583	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Mean corpuscular volume	172,433 European ancestry individuals	NA	5p15.33	TERT	TERT			ENSG00000164362			rs4449583-T	rs4449583	0	4449583	intron_variant	0	0.3258	1E-35	35.0		0.04728492	[0.04-0.055] unit decrease	Affymetrix [~ 2500000] (imputed)	N
10	rs4449583	5	1284135	rs4449583	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Red blood cell count	172,952 European ancestry individuals	NA	5p15.33	TERT	TERT			ENSG00000164362			rs4449583-T	rs4449583	0	4449583	intron_variant	0	0.3259	2E-25	24.69897000433602		0.03983159	[0.032-0.047] unit increase	Affymetrix [~ 2500000] (imputed)	N
10	rs4449583	5	1284135	rs4449583	2018-07-28	29403010	Kanai M	2018-02-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29403010	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	Mean corpuscular hemoglobin	108,054 Japanese ancestry individuals	NA	5p15.33	TERT	TERT			ENSG00000164362			rs4449583-?	rs4449583	0	4449583	intron_variant	0	NR	4E-33	32.39794000867204		0.05941	[0.05-0.069] unit decrease novel	Illumina [6108953] (imputed)	N
10	rs4449583	5	1284135	rs4449583	2018-07-28	29403010	Kanai M	2018-02-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29403010	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	Mean corpuscular volume	108,256 Japanese ancestry individuals	NA	5p15.33	TERT	TERT			ENSG00000164362			rs4449583-?	rs4449583	0	4449583	intron_variant	0	NR	4E-41	40.39794000867204		0.06654	[0.057-0.076] unit decrease novel	Illumina [6108953] (imputed)	N
10	rs4449583	5	1284135	rs4449583	2018-07-28	29403010	Kanai M	2018-02-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29403010	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	Neutrophil count	62,076 Japanese ancestry individuals	NA	5p15.33	TERT	TERT			ENSG00000164362			rs4449583-?	rs4449583	0	4449583	intron_variant	0	NR	2E-10	9.698970004336019		0.04247	[0.029-0.056] unit increase novel	Illumina [6108953] (imputed)	N
10	rs4449583	5	1284135	rs4449583	2018-07-28	29403010	Kanai M	2018-02-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29403010	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	Red blood cell count	108,794 Japanese ancestry individuals	NA	5p15.33	TERT	TERT			ENSG00000164362			rs4449583-?	rs4449583	0	4449583	intron_variant	0	NR	1E-22	22.0		0.04855	[0.039-0.058] unit increase novel	Illumina [6108953] (imputed)	N
10	rs4449583	5	1284135	rs4449583	2018-07-28	29403010	Kanai M	2018-02-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29403010	Genetic analysis of quantitative traits in the Japanese population links cell types to complex human diseases.	White blood cell count	107,964 Japanese ancestry individuals	NA	5p15.33	TERT	TERT			ENSG00000164362			rs4449583-?	rs4449583	0	4449583	intron_variant	0	NR	2E-10	9.698970004336019		0.03137	[0.022-0.041] unit increase novel	Illumina [6108953] (imputed)	N
10	rs4449583	5	1285974	rs7705526	2017-06-08	28165464	Law PJ	2017-02-06	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/28165464	Genome-wide association analysis implicates dysregulation of immunity genes in chronic lymphocytic leukaemia.	Chronic lymphocytic leukemia	4,478 European ancestry cases and 13,213 European ancestry controls.	1,722 European ancestry cases and 4,385 European ancestry controls.	5p15.33	TERT	TERT			ENSG00000164362			rs7705526-A	rs7705526	0	7705526	intron_variant	0	NR	6E-10	9.221848749616356		1.18	[1.12-1.25]	Affymetrix, Illumina [> 10000000] (imputed)	N
10	rs4449583	5	1285974	rs7705526	2017-08-03	28346442	Phelan CM	2017-03-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28346442	Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.	Invasive epithelial ovarian cancer	22,406 European ancestry cases, 40,941 European ancestry controls	NA	5p15.33	NR	TERT			ENSG00000164362			rs7705526-A	rs7705526	0	7705526	intron_variant	0	0.332078	7E-10	9.154901959985743		1.0913801	[1.06151189081851-1.12208885346329]	Illumina [11595112] (imputed)	N
10	rs4449583	5	1285974	rs7705526	2017-08-04	28346442	Phelan CM	2017-03-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28346442	Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.	Epithelial ovarian cancer	16,924 European ancestry cases, 68,502 European ancestry controls	NA	5p15.33	NR	TERT			ENSG00000164362			rs7705526-A	rs7705526	0	7705526	intron_variant	0	0.332078	8E-8	7.096910013008056		1.0766991	[1.04796689850078-1.10621911687371]	Illumina [11595112] (imputed)	N
10	rs4449583	5	1285974	rs7705526	2017-08-07	28346442	Phelan CM	2017-03-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28346442	Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.	High-grade serous ovarian cancer	13,037 European ancestry cases, 40,941 European ancestry controls	NA	5p15.33	NR	TERT			ENSG00000164362			rs7705526-A	rs7705526	0	7705526	intron_variant	0	0.332078	2E-8	7.698970004336019		1.099452	[1.06380317084564-1.13629550714478]	Illumina [11595112] (imputed)	N
10	rs4449583	5	1285974	rs7705526	2017-08-07	28346442	Phelan CM	2017-03-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28346442	Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.	Low-grade serous and serous borderline ovarian cancer	2,966 European ancestry cases, 40,941 European ancestry controls	NA	5p15.33	NR	TERT			ENSG00000164362			rs7705526-A	rs7705526	0	7705526	intron_variant	0	0.332078	2E-20	19.69897000433602		1.3236618	[1.24799798080348-1.40391301421926]	Illumina [11595112] (imputed)	N
10	rs4449583	5	1285974	rs7705526	2017-08-07	28346442	Phelan CM	2017-03-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28346442	Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.	Serous borderline ovarian cancer	1,954 European ancestry cases, 40,941 European ancestry controls	NA	5p15.33	NR	TERT			ENSG00000164362			rs7705526-A	rs7705526	0	7705526	intron_variant	0	0.332078	6E-19	18.221848749616356		1.3829999	[1.28830538018993-1.48465482476452]	Illumina [11595112] (imputed)	N
10	rs4449583	5	1285974	rs7705526	2017-08-07	28346442	Phelan CM	2017-03-27	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28346442	Identification of 12 new susceptibility loci for different histotypes of epithelial ovarian cancer.	Serous invasive ovarian cancer	14,049 European ancestry cases, 40,941 European ancestry controls	NA	5p15.33	NR	TERT			ENSG00000164362			rs7705526-A	rs7705526	0	7705526	intron_variant	0	0.332078	6E-10	9.221848749616356		1.1067635	[1.07188995128973-1.14277166876843]	Illumina [11595112] (imputed)	N
10	rs4449583	5	1285974	rs7705526	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Granulocyte count	169,822 European ancestry individuals	NA	5p15.33	TERT	TERT			ENSG00000164362			rs7705526-A	rs7705526	0	7705526	intron_variant	0	0.329	1E-18	18.0		0.03445749	[0.027-0.042] unit increase	Affymetrix [~ 2500000] (imputed)	N
10	rs4449583	5	1285974	rs7705526	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Myeloid white cell count	169,219 European ancestry individuals	NA	5p15.33	TERT	TERT			ENSG00000164362			rs7705526-A	rs7705526	0	7705526	intron_variant	0	0.329	6E-19	18.221848749616356		0.03473723	[0.027-0.042] unit increase	Affymetrix [~ 2500000] (imputed)	N
10	rs4449583	5	1285974	rs7705526	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Neutrophil count	170,702 European ancestry individuals	NA	5p15.33	TERT	TERT			ENSG00000164362			rs7705526-A	rs7705526	0	7705526	intron_variant	0	0.3291	8E-20	19.096910013008056		0.03545307	[0.028-0.043] unit increase	Affymetrix [~ 2500000] (imputed)	N
10	rs4449583	5	1285974	rs7705526	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Plateletcrit	164,339 European ancestry individuals	NA	5p15.33	TERT	TERT			ENSG00000164362			rs7705526-A	rs7705526	0	7705526	intron_variant	0	0.3288	2E-41	40.69897000433602		0.05365946	[0.046-0.061] unit increase	Affymetrix [~ 2500000] (imputed)	N
10	rs4449583	5	1285974	rs7705526	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Sum basophil neutrophil counts	170,143 European ancestry individuals	NA	5p15.33	TERT	TERT			ENSG00000164362			rs7705526-A	rs7705526	0	7705526	intron_variant	0	0.3291	1E-19	19.0		0.03527305	[0.028-0.043] unit increase	Affymetrix [~ 2500000] (imputed)	N
10	rs4449583	5	1285974	rs7705526	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	Sum neutrophil eosinophil counts	170,384 European ancestry individuals	NA	5p15.33	TERT	TERT			ENSG00000164362			rs7705526-A	rs7705526	0	7705526	intron_variant	0	0.329	6E-19	18.221848749616356		0.03464376	[0.027-0.042] unit increase	Affymetrix [~ 2500000] (imputed)	N
10	rs4449583	5	1285974	rs7705526	2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	White blood cell count	172,435 European ancestry individuals	NA	5p15.33	TERT	TERT			ENSG00000164362			rs7705526-A	rs7705526	0	7705526	intron_variant	0	0.329	8E-18	17.096910013008056		0.03350265	[0.026-0.041] unit increase	Affymetrix [~ 2500000] (imputed)	N
10	rs4449583	5	1285974	rs7705526	2017-09-18	28604730	McKay JD	2017-06-12	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28604730	Large-scale association analysis identifies new lung cancer susceptibility loci and heterogeneity in genetic susceptibility across histological subtypes.	Lung adenocarcinoma	11,273 European ancestry cases,  55,483 European ancestry controls	NA	5p15.33	TERT	TERT			ENSG00000164362			rs7705526-A	rs7705526	0	7705526	intron_variant	0	0.342168639	4E-35	34.39794000867204		1.2488487	[1.20564202-1.293603768]	Illumina [10439017] (imputed)	N
10	rs4449583	5	1285974	rs7705526	2017-09-18	28604730	McKay JD	2017-06-12	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/28604730	Large-scale association analysis identifies new lung cancer susceptibility loci and heterogeneity in genetic susceptibility across histological subtypes.	Lung cancer in never smokers	2,355 European ancestry cases,  7,504 European ancestry controls	NA	5p15.33	TERT	TERT			ENSG00000164362			rs7705526-A	rs7705526	0	7705526	intron_variant	0	0.346810832	7E-8	7.154901959985743		1.2275395	[1.139566941-1.322303439]	Illumina [10439017] (imputed)	N
10	rs4449583	5	1285974	rs7705526	2018-01-12	29151059	Delgado DA	2017-11-18	J Med Genet	www.ncbi.nlm.nih.gov/pubmed/29151059	Genome-wide association study of telomere length among South Asians identifies a second RTEL1 association signal.	Telomere length	5,075 Bangladeshi ancestry individuals	NA	5p15.33	TERT	TERT			ENSG00000164362			rs7705526-A	rs7705526	0	7705526	intron_variant	0	0.43	6E-6	5.221848749616356		0.09	[0.051-0.129] unit increase	Illumina [~ 6300000] (imputed)	N
10	rs4449583	5	1285974	rs7705526	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Hypothyroidism	approximately 459,000 European ancestry individuals	NA	5p15.33		TERT			ENSG00000164362			rs7705526-?	rs7705526	0	7705526	intron_variant	0	NR	1E-9	9.0				NR [~ 8900000] (imputed)	N
10	rs4449583	5	1285974	rs7705526	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Mean corpuscular hemoglobin	approximately 443,000 European ancestry individuals	NA	5p15.33		TERT			ENSG00000164362			rs7705526-?	rs7705526	0	7705526	intron_variant	0	NR	1E-98	98.0				NR [~ 8900000] (imputed)	N
10	rs4449583	5	1285974	rs7705526	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Red blood cell count	approximately 445,000 European ancestry individuals	NA	5p15.33		TERT			ENSG00000164362			rs7705526-?	rs7705526	0	7705526	intron_variant	0	NR	2E-69	68.69897000433602				NR [~ 8900000] (imputed)	N
10	rs4449583	5	1285974	rs7705526	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	White blood cell count	approximately 444,000 European ancestry individuals	NA	5p15.33		TERT			ENSG00000164362			rs7705526-?	rs7705526	0	7705526	intron_variant	0	NR	4E-29	28.397940008672037				NR [~ 8900000] (imputed)	N
10	rs2736098	5	1294086	rs2736098	2015-07-08	25086665	Wolpin BM	2014-08-03	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25086665	Genome-wide association study identifies multiple susceptibility loci for pancreatic cancer.	Pancreatic cancer	1,582 European ancestry cases, 5,203 European ancestry controls	6,101 European ancestry cases, 9,194 European ancestry controls	5p15.33	ZDHHC11, BRD9, TRIP13, LOC100506688, NKD2, SLC12A7, MIR4635, SLC6A19, SLC6A18, MIR4457, TERT, SLC6A3, LPCAT1, CLPTM1L, SDHAP3, LOC728613, MIR4277	TERT			ENSG00000164362			rs2736098-C	rs2736098	0	2736098	synonymous_variant	0	0.716	1E-13	13.0		1.25	[1.18-1.32]	Illumina [608202]	N
10	rs2736098	5	1294086	rs2736098	2018-04-06	29422604	Klein AP	2018-02-08	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29422604	Genome-wide meta-analysis identifies five new susceptibility loci for pancreatic cancer.	Pancreatic cancer	9,040 European ancestry cases, 12,496 European ancestry controls	up to 2,737 cases, up to 4,752 controls	5p15.33	TERT	TERT			ENSG00000164362			rs2736098-C	rs2736098	0	2736098	synonymous_variant	0	0.73	7E-15	14.154901959985743		1.1904762	[1.14-1.27]	Illumina [11381182] (imputed)	N
10	rs2736098	5	1295349	rs2853669	2017-11-30	29059683	Michailidou K	2017-10-23	Nature	www.ncbi.nlm.nih.gov/pubmed/29059683	Association analysis identifies 65 new breast cancer risk loci.	Breast cancer	76,192 European ancestry cases, 63,082 European ancestry controls	46,785 European ancestry cases, 42,892 European ancestry controls, 14,068 East Asian ancestry cases, 13,104 East Asian ancestry controls	5p15.33	NR	TERT - MIR4457	ENSG00000164362	ENSG00000263670		165	14076	rs2853669-G	rs2853669	0	2853669	regulatory_region_variant	1	0.3061	4E-21	20.397940008672037	(EA)	0.0651	[0.052-0.079] unit decrease	Illumina [~ 11800000] (imputed)	N
10	rs2736098	5	1297488	rs2736108	2017-03-31	27117709	Couch FJ	2016-04-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/27117709	Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.	Breast cancer	4,939 European ancestry estrogen receptor-negative cases, 14,352 European ancestry controls	7,333 European ancestry estrogen receptor-negative cases, 7,797 European ancestry BRCA1 mutation carrier cases, 7,455  European ancestry BRCA1 mutation carrier controls, 42,468 European ancestry controls	5p15.33	TERT	TERT - MIR4457	ENSG00000164362	ENSG00000263670		2304	11937	rs2736108-?	rs2736108	0	2736108	regulatory_region_variant	1	0.71	3E-14	13.522878745280337		1.1235955	[1.08-1.16] (BRCA1 carriers)	Illumina [10909381] (imputed)	N
10	rs2736098	5	1297488	rs2736108	2017-03-31	27117709	Couch FJ	2016-04-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/27117709	Identification of four novel susceptibility loci for oestrogen receptor negative breast cancer.	Breast cancer (estrogen-receptor negative)	4,939 European ancestry cases, 14,352 European ancestry controls	7,333 European ancestry cases, 42,468 European ancestry controls	5p15.33	TERT	TERT - MIR4457	ENSG00000164362	ENSG00000263670		2304	11937	rs2736108-?	rs2736108	0	2736108	regulatory_region_variant	1	0.71	1E-8	8.0		1.1235955	[1.08-1.16]	Illumina [10909381] (imputed)	N
10	rs2736098	5	1297488	rs2736108	2017-11-14	25751625	Michailidou K	2015-04-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25751625	Genome-wide association analysis of more than 120,000 individuals identifies 15 new susceptibility loci for breast cancer.	Breast cancer	15,748 European ancestry cases, 18,084 European ancestry controls	46,785 European ancestry cases, 42,892 European ancestry controls	5p15.33	NR	TERT - MIR4457	ENSG00000164362	ENSG00000263670		2304	11937	rs2736108-C	rs2736108	0	2736108	regulatory_region_variant	1	0.71	2E-9	8.698970004336019		1.0638298	[1.04-1.09]	Affymetrix, Illumina [~ 11600000] (imputed)	N
11	rs10866527	5	1895829	rs12653946	2010-09-11	20676098	Takata R	2010-08-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20676098	Genome-wide association study identifies five new susceptibility loci for prostate cancer in the Japanese population.	Prostate cancer	1,583 Japanese ancestry cases, 3,386 Japanese ancestry controls	3,001 Japanese ancestry cases, 5,415 Japanese ancestry controls	5p15.33	intergenic	CTD-2194D22.4						rs12653946-T	rs12653946	0	12653946	intron_variant	0	0.44	4E-18	17.397940008672037		1.26	[1.20-1.33]	Illumina [510687]	N
11	rs10866527	5	1895829	rs12653946	2012-10-23	22923026	Cheng I	2012-08-24	Cancer Epidemiol Biomarkers Prev	www.ncbi.nlm.nih.gov/pubmed/22923026	Evaluating genetic risk for prostate cancer among Japanese and Latinos.	Prostate cancer	1,033 Japanese ancestry cases, 1,042 Japanese ancestry controls, 1,043 Latino cases, 1,057 Latino controls	1,583 Japanese ancestry cases, 3,386 Japanese ancestry  controls, 1,854 European ancestry cases, 3,748 European ancestry controls	5p15.33	NR	CTD-2194D22.4						rs12653946-T	rs12653946	0	12653946	intron_variant	0	0.43	3E-7	6.522878745280337	(Japanese)	1.39	[1.22-1.57]	Illumina [528023]	N
11	rs10866527	5	1895829	rs12653946	2016-06-13	26443449	Wang M	2015-10-07	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26443449	Large-scale association analysis in Asians identifies new susceptibility loci for prostate cancer.	Prostate cancer	3,000 East Asian ancestry cases, 4,394 East Asian ancestry controls	3,605 East Asian ancestry cases, 3,919 East Asian ancestry controls	5p15.33	IRX4	CTD-2194D22.4						rs12653946-A	rs12653946	0	12653946	intron_variant	0	NR	2E-12	11.698970004336019		1.2820514	[NR]	Illumina [4550396] (imputed)	N
13	rs6917270	6	41536427	rs1983891	2010-09-11	20676098	Takata R	2010-08-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20676098	Genome-wide association study identifies five new susceptibility loci for prostate cancer in the Japanese population.	Prostate cancer	1,583 Japanese ancestry cases, 3,386 Japanese ancestry controls	3,001 Japanese ancestry cases, 5,415 Japanese ancestry controls	6p21.1	FOXP4	FOXP4			ENSG00000137166			rs1983891-T	rs1983891	0	1983891	intron_variant	0	0.41	8E-8	7.096910013008056		1.15	[1.09-1.21]	Illumina [510687]	N
13	rs6917270	6	41552040	rs912883	2018-10-19	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Educational attainment (years of education)	up to 1,131,881 European ancestry individuals	NA	6p21.1		FOXP4			ENSG00000137166			rs912883-T	rs912883	0	912883	intron_variant	0	0.6781	6E-9	8.221848749616356		0.0087	[0.0058-0.0116] unit increase	Affymetrix, Illumina [10000000] (imputed)	N
13	rs6917270	6	41552040	rs912883	2018-11-12	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Educational attainment (MTAG)	1,311,438 European ancestry individuals	NA	6p21.1	Intergenic	FOXP4			ENSG00000137166			rs912883-T	rs912883	0	912883	intron_variant	0	0.6781	5E-10	9.301029995663981	(MTAG)	0.0087	[0.006-0.0114] unit increase	Affymetrix, Illumina [7100000] (imputed)	N
13	rs6917270	6	41558358	rs3800283	2018-10-19	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Educational attainment (years of education)	up to 1,131,881 European ancestry individuals	NA	6p21.1		FOXP4			ENSG00000137166			rs3800283-A	rs3800283	0	3800283	intron_variant	0	0.6802	3E-8	7.522878745280337	(conditional-joint)	0.0083	[0.0054-0.0112] unit increase	Affymetrix, Illumina [10000000] (imputed)	N
13	rs6917270	6	41558358	rs3800283	2018-11-12	30038396	Lee JJ	2018-07-23	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30038396	Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.	Highest math class taken (MTAG)	811,539 European ancestry individuals	NA	6p21.1	Intergenic	FOXP4			ENSG00000137166			rs3800283-A	rs3800283	0	3800283	intron_variant	0	0.6787	4E-8	7.3979400086720375	(MTAG)	0.0097	[0.0062-0.0132] unit increase	Affymetrix, Illumina [7100000] (imputed)	N
13	rs6917270	6	41570350	rs9381084	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Heel bone mineral density	approximately 446,000 European ancestry individuals	NA	6p21.1		FOXP4 - MDFI	ENSG00000137166	ENSG00000112559		228	34270	rs9381084-?	rs9381084	0	9381084	regulatory_region_variant	1	NR	2E-9	8.698970004336019				NR [~ 8900000] (imputed)	N
14	rs9489065	6	117210052	rs339331	2010-09-11	20676098	Takata R	2010-08-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20676098	Genome-wide association study identifies five new susceptibility loci for prostate cancer in the Japanese population.	Prostate cancer	1,583 Japanese ancestry cases, 3,386 Japanese ancestry controls	3,001 Japanese ancestry cases, 5,415 Japanese ancestry controls	6q22.1	GPRC6A, RFX6	RFX6			ENSG00000185002			rs339331-T	rs339331	0	339331	intron_variant	0	0.37	2E-12	11.698970004336019		1.22	[1.15-1.28]	Illumina [510687]	N
14	rs9489065	6	117210052	rs339331	2016-06-13	26443449	Wang M	2015-10-07	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/26443449	Large-scale association analysis in Asians identifies new susceptibility loci for prostate cancer.	Prostate cancer	3,000 East Asian ancestry cases, 4,394 East Asian ancestry controls	3,605 East Asian ancestry cases, 3,919 East Asian ancestry controls	6q22.1	RFX6	RFX6			ENSG00000185002			rs339331-T	rs339331	0	339331	intron_variant	0	NR	4E-11	10.397940008672037		1.2820514	[NR]	Illumina [4550396] (imputed)	N
14	rs9489065	6	117210052	rs339331	2016-07-15	26034056	Hoffmann TJ	2015-06-01	Cancer Discov	www.ncbi.nlm.nih.gov/pubmed/26034056	A large multiethnic genome-wide association study of prostate cancer identifies novel risk variants and substantial ethnic differences.	Prostate cancer	6,406 European ancestry cases, 601 African American cases, 288 East Asian ancestry cases, 488 Latino cases30,866 European ancestry controls, 1,650 African American controls, 2,938 East Asian ancestry controls, 3,141 Latino controls	4,599 European ancestry cases, 2,265 African American cases, 2,940 European ancestry controls, 2,414 African American controls	6q22.1	NR	RFX6			ENSG00000185002			rs339331-T	rs339331	0	339331	intron_variant	0	0.71	1E-6	6.0	(European)	1.13	[1.07-1.18]	Affymetrix [up to 19977088] (imputed)	N
14	rs9489065	6	117210052	rs339331	2016-07-15	26034056	Hoffmann TJ	2015-06-01	Cancer Discov	www.ncbi.nlm.nih.gov/pubmed/26034056	A large multiethnic genome-wide association study of prostate cancer identifies novel risk variants and substantial ethnic differences.	Prostate cancer	6,406 European ancestry cases, 601 African American cases, 288 East Asian ancestry cases, 488 Latino cases30,866 European ancestry controls, 1,650 African American controls, 2,938 East Asian ancestry controls, 3,141 Latino controls	4,599 European ancestry cases, 2,265 African American cases, 2,940 European ancestry controls, 2,414 African American controls	6q22.1	NR	RFX6			ENSG00000185002			rs339331-T	rs339331	0	339331	intron_variant	0	0.71	6E-7	6.221848749616356		1.12	[1.07-1.17]	Affymetrix [up to 19977088] (imputed)	N
14	rs9489065	6	117229806	rs12201912	2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Lung function (FEV1/FVC)	approximately 370,000 European ancestry individuals	NA	6q22.1		RFX6			ENSG00000185002			rs12201912-?	rs12201912	0	12201912	intron_variant	0	NR	9E-15	14.045757490560675				NR [~ 8900000] (imputed)	N
14	rs9489065	6	117240593	rs1321366	2017-02-10	27569725	Yang SK	2016-08-25	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/27569725	Identification of Loci at 1q21 and 16q23 That Affect Susceptibility to Inflammatory Bowel Disease in Koreans.	Inflammatory bowel disease	1,505 Korean ancestry cases, 4,041 Korean ancestry controls	1,989 Korean ancestry cases, 3,491 Korean ancestry controls	6q22.1	FAM162B, GPRC6A, RFX6	RFX6			ENSG00000185002			rs1321366-A	rs1321366	0	1321366	intron_variant	0	0.35	5E-6	5.301029995663981		1.15	[NR]	Illumina [522285]	N
